"","CVEGEO","ICE_Personal_2015.","ICE_Personal_2016A","ICE_Personal_2016B","ICE_Personal_2017A","ICE_Personal_2017B","ICE_Personal_2018A","ICE_Personal_2018B","ICE_Personal_2019A","ICE_Personal_2019B","ICE_Personal_2020A","ICE_Personal_2020B","ICE_Personal_2021A","ICE_Personal_2021B","ICE_Personal_2022A","ICE_Personal_2022B","ICE_Personal_2023B","ICE_Personal_2024A","ICE_Personal_2024B","ICE_Unidades_2015.","ICE_Unidades_2016A","ICE_Unidades_2016B","ICE_Unidades_2017A","ICE_Unidades_2017B","ICE_Unidades_2018A","ICE_Unidades_2018B","ICE_Unidades_2019A","ICE_Unidades_2019B","ICE_Unidades_2020A","ICE_Unidades_2020B","ICE_Unidades_2021A","ICE_Unidades_2021B","ICE_Unidades_2022A","ICE_Unidades_2022B","ICE_Unidades_2023B","ICE_Unidades_2024A","ICE_Unidades_2024B"
"3","11",0.661865932782643,0.7491052645825,0.812265349245177,0.754771504082772,0.797569964979633,0.834074650148089,0.720821277105624,0.713779382135411,0.549763637556985,0.645838828849874,0.590773091382651,0.539736046007542,0.540128861304052,0.514751835637619,0.612034669518637,0.604257041944452,0.639681641347859,0.763281650965748,0.936949655689101,0.856280988160532,0.691675384151598,0.739502150901968,0.749238742625663,0.708766647936004,0.685393806539618,0.704053411499163,0.430661315466136,0.484854428851584,0.503668193614333,0.512127489692628,0.538356893695064,0.511026303903024,0.488629872781933,0.459767238273067,0.384823850377072,0.413762014838406
"4","12",-1.89379265495984,-1.89673143247411,-1.88891565869868,-1.95594608696399,-1.96117845833587,-1.98095668621265,-1.93834342169441,-1.90907668892782,-1.84098893411903,-1.90357974261741,-1.88486269517106,-1.87603503849187,-1.87069882226545,-1.86696070746046,-1.84540530979238,-1.89836031438395,-1.93964693769696,-1.90709929777775,-2.34104069019736,-2.26630145698449,-2.33010700528424,-2.31009470893207,-2.33384208192346,-2.44381484917662,-2.3287757510695,-2.27229453808537,-2.04297317012777,-2.16297875204303,-2.13799485347256,-2.14569599571332,-2.12551784646048,-2.13146962527485,-2.16922385756699,-2.1667259503899,-2.19319836870282,-2.00606683719275
"5","13",-0.448378041038199,-0.458285265927974,-0.332640106477123,-0.420361627481652,-0.317555055681793,-0.261402244353052,-0.319562051667647,-0.415879786839282,-0.713976743547065,-0.594326966244272,-0.712240247834186,-0.705473993420186,-0.709968384374487,-0.745550770009869,-0.683100648299953,-0.663563794230599,-0.655909296406657,-0.584619776071039,-0.504428189684175,-0.632329763127983,-0.746174854902395,-0.70103228372093,-0.653514564766097,-0.656641382675167,-0.673856486656267,-0.700278424866203,-0.777239387833161,-0.782450027378259,-0.803396186511831,-0.793378098317837,-0.76685686262981,-0.79275899495142,-0.792700663485537,-0.760101517052454,-0.7215266675723,-0.808673154131314
"6","14",1.11164815707897,1.15622910459229,1.15284400861485,1.10552248557921,1.13844494374685,1.14868421686803,1.1231984732876,1.05713190219172,0.908003724841551,0.999096614759594,1.00311251150062,1.00532728031077,1.00491738158045,1.00394137943693,1.00830062297278,0.965583283563739,0.999288987001041,0.999371628941603,1.21628277913157,1.11925390745086,1.09022931347897,1.09675422375728,1.11682975666621,1.06065767303489,1.07161351119972,1.01727260486869,0.817307230870181,0.847188742476649,0.796890655915909,0.841860686249551,0.840037941675743,0.822233599979462,0.818745900793625,0.791004919783742,0.765651007529418,0.783177181103952
"7","15",0.898897010959087,0.95693990674246,1.03171739816022,0.837181352239393,0.85644066834694,0.969769436592176,0.76767636993921,0.754645169335133,0.344857183622711,0.385897856849712,0.209809240818447,0.172501278838448,0.177762850285692,0.149480987823437,0.204384621879497,0.220553810004246,0.241676667997927,0.441581206584105,0.975584829423957,0.823505248147606,0.581204785976703,0.673338559154322,0.649025461571136,0.645523536403936,0.543999166495699,0.567784460044016,-0.022661397957793,-0.0264073813027503,-0.0380708829188122,0.0297676502847121,0.0704053137466425,0.0338996482323362,0.0252534392296972,-0.0367599568452876,-0.107033133541443,-0.188699426206521
"8","16",-0.829699135454022,-0.847089354528923,-0.796547654646163,-0.878584079213456,-0.854563040648697,-0.894458089965212,-0.901418121946734,-0.897612283451851,-0.882291056361386,-0.915926156684732,-0.930023756542697,-0.950468411317892,-0.949591027288094,-0.967272674156602,-0.899311574230187,-0.917985630392368,-0.952775898345688,-0.784291277103622,-0.774059795579194,-0.849435893159204,-0.861175443886488,-0.813612812961215,-0.831999299363011,-0.833898381284554,-0.861137281504604,-0.868196653751801,-1.04159617214103,-1.03967066046273,-1.0638310422604,-1.03821091265638,-1.06567076298255,-1.10760850147435,-1.11579719272561,-1.0305538108664,-1.08964591597507,-1.05243613140822
"9","17",-0.532997871022652,-0.52690160195908,-0.503623337695942,-0.605231986088865,-0.60832903399754,-0.510987449233681,-0.604360135021944,-0.673091803128529,-0.839014792201762,-0.74212803000336,-0.848512397607006,-0.827451318997363,-0.829094241194081,-0.82091426271584,-0.795712137204664,-0.869848252148732,-0.832306778484591,-0.738825918710656,-0.119004085763054,-0.20675832717631,-0.240485658760528,-0.213776773217681,-0.223977242826257,-0.156387994394947,-0.256073977597506,-0.339008610258148,-0.640102529315648,-0.666815370868443,-0.636636848061379,-0.619510754526057,-0.533733202620376,-0.553509184154354,-0.533882237339889,-0.55218287888936,-0.566906282782895,-0.672583055153882
"10","18",-0.94376155352843,-1.16517963729213,-1.16934868104317,-1.13903884537054,-1.1448475857079,-1.1975429784571,-1.18792050730026,-1.04742479047739,-0.799460474375693,-0.800037377650247,-0.818934730410386,-0.797214578222636,-0.774866594080334,-0.762813624765785,-0.833167852390972,-0.688068284272205,-0.684542597147996,-0.759231360655943,-0.589737366106526,-0.677639106125495,-0.551443490645959,-0.580837502500679,-0.503877132795754,-0.498424289267162,-0.527447640788828,-0.513877727899048,-0.233947898312784,-0.130669666624296,-0.216678517379865,-0.261208962052713,-0.236674145194595,-0.232820302929037,-0.189757210191491,-0.221579390549649,-0.182099680719595,-0.107641387082541
"11","19",1.67304767834594,1.74274353955026,1.74595371441574,1.72226660120615,1.74003206924398,1.69856161538152,1.74580772504632,1.72987556952369,1.5639246829554,1.66795416147686,1.64176910205015,1.61950886172843,1.61586645679511,1.62795997655644,1.6833084241767,1.62469427520957,1.61569153301584,1.66435986153505,1.26345724241969,1.3353911275221,1.30821079660512,1.30759641182666,1.30662645485602,1.23815844764049,1.3086905260257,1.30300812980727,1.08541302705949,1.07507232864745,1.08613379731638,1.10189528189218,1.10574715137617,1.10125586902567,1.10269786555173,1.07356458398744,1.07590485255293,1.08162136853132
"13","20",-1.83639370812508,-1.80724480776794,-1.79511678465674,-1.82488427076026,-1.8481370605646,-1.83167150573814,-1.82265510141001,-1.81687713635444,-2.02063479514091,-1.92726040166847,-2.02896461401527,-2.0295727967962,-2.03656420480768,-2.04406639290278,-2.04417218807953,-2.0253430225346,-2.00237000059723,-1.8880005220675,-2.48019413377576,-2.42175995946468,-2.40754683556906,-2.41862258419556,-2.42551441636649,-2.47576208813948,-2.41954018204878,-2.51397117103107,-2.43020499861785,-2.27392302721163,-2.38086593040032,-2.32429122078576,-2.30545328635078,-2.31400195981415,-2.33072949081655,-2.39411185055263,-2.31670953832675,-2.15093718282395
